PROD_MSY_GRP
Pickx All Stars
Pickx All Stars & Sports
Projects
Pickx Sports
Other
Over the Top
PVR
VOO Basic TV
Telenet Basic TV
Radio Channels
Play
Orange Basic TV
ATV
AVS-EEKLO
AVS-GENT
AVS-OUDENAARDE
Discover More
AVS-EEKLO HD
AVS-GENT HD
Broadcast Partners
AVS-OUDENAARDE HD
Canal Z
Be TV
Family fun
Canal Play
Focus
Classé X 
Focus HD
No Télé 
Passion
ROB TV
RTV
Télé Bruxelles
TV Brussel
TV Limburg
RTC Téléliège
RTL Sélection
RTL Séries Pass
Antenne Centre
AVS (Eeklo)
AVS (Gent)
AVS (Oudenaarde)
RTV - Geel
Canal C
RTV - Herenthout
Canal Zoom
RTV - Mechelen
RTV - Turnhout
RTV (Geel)
RTV (Herenthout)
RTV (Turnhout)
MaTélé
VOO - Sport World
Ring TV
RTV (Mechelen)
TéléMB
Télésambre
Télévesdre
Télévesdre HD
WTV
Disney CINEMA
VOO Eleven Sports
TV Brussel - Brusselse rand
TV Oost - Dendermonde
TV Oost - Sint-Niklaas
Man-X
No Télé
VOO Sport
Télé MB
TéléVesdre
TV Com
TV Lux
WTV West-Vlaanderen
WTV West-Vlaanderen - HD
Decoder
Proximus TV Classic+
VRT - Net Gemist
Bouquet Select
Bouquet Movie & Sport
Proximus TV Comfort
Adult Channels
Proximus TV On-demand Catalogue
Proximus TV Favorite
Proximus TV Intense
Bouquet Sport & Pleasure
Kids Channels
Bouquet Entertainment
Bouquet Music & Culture
Bouquet Nature & Discovery
Bouquet Nostalgie
Cinefeel Pass
RTL Coaching Pass
Kids Pass
TV Everywhere
International Sports
X-Adult Pass
Gay Pass
Bouquet Multi
Bouquet All Sports
TV Light
TV Replay
TV Replay+
Pickx Mix
RTBF Culture Pass
Belgian Football
All Kids
Wanagogo Pass
All Entertainment
All Adult
Entertainment Channels
TV Light Experience
ANTENNECENTREFR
ATVFL
AVSFL
CANALCFR
CANALZOOMFR
FOCUSFL
MATELEFR
NOTELEFR
RINGTVFL
ROBTVFL
RTVFL
TVBRUXELLESFR
TELEMBFR
TELESAMBREFR
TELEVESDREFR
TVLIMBURGFL
TVLUXFR
TVOOSTFL
TVCOMFR
WTVFL
Pickx +
COMFORT BXL
COMFORT NL
EPIC Light
COMFORT FR
Family FR
Multi FR
All Entertainment FR
All Stars & Sport FR
Nature&Discovery FR
All Kids FR
All  Kids FR
All  Kids FR
Kids Channels FR
All Sports
All  Entertainment FR
All  Entertainment FR
All Stars FR
SELECT FR
BOUQUET NATURE & DISCOVERY NL
BOUQUET MULTI NL
BOUQUET ENTERTAINMENT NL
BOUQUET NATURE & DISCOVERY FR
BOUQUET MULTI FR

